name,description
Spermatogenic failure,Spermatogenic failure is a major cause of human male infertility.
Occipital horn syndrome,Occipital horn syndrome is an X-linked copper metabolism disorder.
senescence-associated diseases,Diseases associated with cellular senescence.
Multiple myeloma,Multiple myeloma is a cancer of plasma cells.
Disturbed spermatogenesis,Disturbed spermatogenesis is a condition characterized by abnormal sperm production.
Thyrotropin resistance,Thyrotropin resistance is a condition with reduced sensitivity to TSH.
COVID-19,COVID-19 is a disease caused by SARS-CoV-2 infection.
Severe COVID-19,Severe COVID-19 is a severe form of the disease caused by SARS-CoV-2 infection.
Liver cancer,Liver cancer is a malignant tumor of the liver.
Bladder cancer,Bladder cancer is a malignant tumor of the urinary bladder.
Cervical cancer,Cervical cancer is a malignant tumor of the cervix.
Thyroid cancer,Thyroid cancer is a malignant tumor of the thyroid gland.
Premature chromatid separation (PCS),A genetic disorder characterized by chromosomal instability and aneuploidy.
mosaic variegated aneuploidy (MVA) syndrome,A genetic disorder characterized by chromosomal instability and aneuploidy.
Esophageal squamous cell carcinoma,A type of esophageal cancer.
Pregnancy complications,Pregnancy complications are adverse outcomes during pregnancy.
Hepatitis A,Hepatitis A is an acute liver infection caused by HAV.
Acute liver failure,Acute liver failure is a severe liver injury.
Acute-on-chronic liver failure,Acute-on-chronic liver failure is a deterioration of chronic liver disease.
neurogenetic disease,"Neurogenetic disorders are neurological conditions with a genetic basis, potentially influenced by somatic mosaicism."
Becker muscular dystrophy,Becker muscular dystrophy (BMD) is a milder form of muscular dystrophy.
hyperCKemia,HyperCKemia is a condition characterized by elevated creatine kinase levels.
Marfan syndrome,Marfan syndrome is a genetic disorder affecting connective tissue.
B cell tumors,B-cell tumors are a type of cancer targeted by CAR-T therapy.
myeloid tumors,Myeloid tumors are a type of cancer being treated with CAR-T therapy.
PEBAT,PEBAT is a disease related to TBCD mutations.
Growth hormone deficiency,Growth hormone deficiency is characterized by impaired growth and development.
Preeclampsia,A pregnancy complication characterized by high blood pressure and protein in the urine.
microcephaly,A neurodevelopmental disorder characterized by a smaller than average head size.
solid malignancies,Solid malignancies are tumors that form a mass of tissue.
Deep vein thrombosis,Deep vein thrombosis is a condition associated with thrombophilia.
Congenital thrombophilia,Congenital thrombophilia is a hereditary predisposition to thrombosis.
chronic inflammation,A prolonged inflammatory response that can lead to tissue damage.
C9-FTD,C9-FTD is a disease caused by C9orf72 hexanucleotide repeat expansion.
ALS,ALS is a disease caused by C9orf72 hexanucleotide repeat expansion.
NKX2-1-related disorder,"NKX2-1-related disorder is a condition characterized by hyperkinetic movement disorders, pulmonary dysfunction, and hypothyroidism."
Longevity,"Longevity is a unique human phenomenon and a highly stable trait, characterized by polygenicity."
HER2-enriched breast cancer,A subtype of breast cancer characterized by HER2 overexpression.
Luminal A breast cancer,A subtype of breast cancer with specific hormone receptor expression.
Luminal B breast cancer,A subtype of breast cancer with specific hormone receptor expression.
Triple-negative breast cancer,"A subtype of breast cancer lacking ER, PR, and HER2 expression."
Retinal degenerations,Retinal degenerations are a group of diseases involving progressive loss of retinal cells.
Glaucoma,Glaucoma is a group of eye conditions that damage the optic nerve.
Retinitis punctata albescens,Retinitis punctata albescens is a form of retinal degeneration characterized by white dots.
Non-autoimmune diabetes,Non-autoimmune diabetes is a form of diabetes not caused by autoimmune destruction of beta cells.
Pseudohypoparathyroidism type 1B,Pseudohypoparathyroidism type 1B is an imprinting disorder characterized by loss of methylation at GNAS-A/B:TSS-DMR.
Floating Harbor syndrome,Floating Harbor syndrome is a neurodevelopmental disorder.
Waardenburg syndrome,A syndrome characterized by sensorineural hearing loss and pigmentary abnormalities.
Spinal muscular atrophy,Spinal muscular atrophy (SMA) is an autosomal recessive motor neuron disease.
Glioblastoma,Glioblastoma (GBM) is an aggressive brain tumor.
Premature aging syndromes,Syndromes characterized by accelerated aging.
Laminopathies,Diseases caused by mutations in genes encoding lamins.
Age-associated cancer,Cancers whose incidence increases with aging.
Hypertrophic scar,Hypertrophic scar is a type of scar that occurs after burn injury.
Burn scar,Burn scar is a scar resulting from burn injury.
atrophic age-related macular degeneration,Dry AMD is the leading cause of irreversible blindness in people over 50.
clinical depression,Clinical depression is a mood disorder.
anti-tuberculosis drug-induced liver injury,ATDILI is liver injury caused by anti-tuberculosis drugs.
Dementia,A syndrome characterized by a decline in cognitive function.
BRCA2-deficient metastatic prostate cancer,BRCA2-deficient metastatic prostate cancer is a form of prostate cancer with BRCA2 mutation that has spread.
Atypical teratoid/rhabdoid tumor,A rare and aggressive pediatric tumor associated with biallelic inactivation of SMARCB1.
Macular dystrophy,Macular dystrophy is an inherited eye disease affecting the macula.
Inherited retinal disease,Inherited retinal disease is a group of genetic disorders affecting the retina.
metastatic breast cancer,Metastatic breast cancer is breast cancer that has spread to other parts of the body.
Triple-hit lymphoma,"Triple-hit lymphoma is an aggressive high-grade B-cell lymphoma with MYC, BCLINE-2, and BCL6 rearrangements."
Cytokine release syndrome,Cytokine release syndrome is a systemic inflammatory response associated with CAR-T cell therapy.
CAR T-cell lymphoma,CAR T-cell lymphoma is a malignancy arising from CAR T cells.
Infertility,A disease characterized by the inability to achieve pregnancy after regular unprotected intercourse.
Pediatric systemic lupus erythematosus,Pediatric systemic lupus erythematosus (pSLE) is SLE in children.
Juvenile idiopathic arthritis,Juvenile idiopathic arthritis (JIA) is a chronic childhood arthritis.
Juvenile dermatomyositis,Juvenile dermatomyositis (JDM) is an inflammatory myopathy in children.
malignant lymphoma,Malignant lymphoma is a cancer derived from CAR gene-modified T cells.
Spinocerebellar ataxia type 12,Spinocerebellar ataxia type 12 (SCA12) is a neurodegenerative disorder caused by CAG repeat expansion in PPP2R2B.
Rhabdoid tumor predisposition syndrome 1,A genetic predisposition syndrome caused by germline SMARCB1 alterations.
Idiopathic temporal lobe epilepsy,Idiopathic temporal lobe epilepsy (TLE).
De novo mutation causing diseases,"Diseases caused by new mutations, including deletions, duplications, and rearrangements."
Atrophic macular degeneration,Atrophic macular degeneration is a form of age-related macular degeneration.
Autoinflammatory disorders,Severe inflammatory conditions often involving innate immune dysregulation.
Haematological malignancies,"Haematological malignancies are cancers of the blood, bone marrow, or lymph nodes."
Bardet-Biedl syndrome,"A ciliopathy characterized by retinitis pigmentosa, obesity, polydactyly, cognitive impairment and renal failure."
lung metastatic melanoma,Lung metastatic melanoma is a cancer that has spread to the lungs from melanoma.
EGFR-mutant glioma,"Gliomas with activating EGFR mutations, common in IDH1 wild-type gliomas."
Type 2 diabetes mellitus,A metabolic disorder characterized by high blood sugar and insulin resistance.
Pre-symptomatic dementia,"Dementia in its early, pre-symptomatic stage."
Cognitive decline,"A decrease in cognitive function, including memory and thinking skills."
Renal cell carcinoma,A type of kidney cancer.
Metastatic clear cell renal cell carcinoma,A metastatic form of clear cell renal cell carcinoma.
Septic shock,Septic shock is a severe form of sepsis.
Complex diseases,Diseases influenced by multiple genetic and environmental factors.
Fibromyalgia,A disease frequently comorbid with ME/CFS.
Myalgic Encephalomyelitis/Chronic Fatigue Syndrome,A neurologic and autoimmune disease.
Therapy resistance,Resistance to cancer therapy studied using transposon-based models.
Senescence,A state of permanent cell cycle arrest.
early spontaneous miscarriage,Early pregnancy loss.
recurrent miscarriages,Multiple pregnancy losses.
malaria,Malaria is a disease caused by Plasmodium parasites transmitted by mosquitoes.
22q11.2 deletion syndrome,22q11.2 deletion syndrome (22qDS) is a disorder caused by a deletion of a small part of chromosome 22.
Lung squamous cell carcinoma,A subtype of non-small cell lung cancer.
Influenza A virus infection,Infection caused by the influenza A virus.
SARS-CoV-2 infection,"Infection caused by the SARS-CoV-2 virus, including Delta and Omicron variants."
Influenza,Influenza is a viral respiratory illness.
Stomach cancer,Stomach cancer is a malignant tumor of the stomach.
Pancreatic adenocarcinoma,Pancreatic adenocarcinoma (PAAD) is a deadly cancer with abundant stroma.
alpha-thalassemia,A genetic blood disorder affecting hemoglobin production.
Hypoxic pulmonary hypertension,A complex vascular disease with poor prognosis.
Pulmonary hypertension,A condition of high blood pressure in the lungs.
Addiction-related diseases,Addiction-related diseases are medical conditions linked to substance use.
high-grade serous ovarian cancer,High-grade serous ovarian cancer (HGSC) is an epithelial cancer where LINE-1 retrotransposons are highly expressed.
Inflammatory disease,Inflammatory diseases are disorders involving abnormal immune responses.
High-grade serous ovarian carcinoma,High-grade serous ovarian carcinoma (HGSOC) is an aggressive ovarian cancer subtype.
Acute promyelocytic leukemia,APL is a subtype of acute myeloid leukemia characterized by PML-RARA fusion.
Fukuyama congenital muscular dystrophy,FCMD is a severe form of muscular dystrophy with brain and ocular anomalies.
Inflammatory bowel disease,Inflammatory Bowel Disease is a group of inflammatory conditions of the colon and small intestine.
Nonobstructive azoospermia,Nonobstructive azoospermia is a cause of male infertility.
liver disorders,Liver disorders are diseases affecting the liver.
ATRT-MYC,ATRT-MYC is a molecular subtype of atypical teratoid/rhabdoid tumor.
ATRT-SHH,ATRT-SHH is a molecular subtype of atypical teratoid/rhabdoid tumor.
ATRT-TYR,ATRT-TYR is a molecular subtype of atypical teratoid/rhabdoid tumor.
pathogenesis,Human pathogenesis refers to the development of disease in humans.
Hereditary breast and ovarian cancer syndrome,Hereditary breast and ovarian cancer syndrome is a genetic predisposition to breast and ovarian cancer.
Congenital hypogonadotropic hypogonadism,Congenital hypogonadotropic hypogonadism (CHH) is a rare endocrine disorder characterized by gonadal dysfunction due to impaired gonadotropin secretion.
Esophageal cancer,Esophageal cancer is a malignant tumor of the esophagus.
Diabetes,Diabetes is a metabolic disease.
Insulin resistance,Insulin resistance is a metabolic condition.
Other disorders,Various other pathological conditions.
Retinal dystrophies,Retinal dystrophies are a type of inherited retinal disease causing progressive vision loss.
Canavan disease,Canavan disease is a rare autosomal recessive leukodystrophy caused by biallelic pathogenic variants in the ASPA gene.
Brain aging,Brain aging is a neurodegenerative process associated with age.
Neuronal injury,Neuronal injury refers to damage or dysfunction of neurons.
Preterm birth,Labor and delivery occurring before 37 weeks of gestation.
Diabetic nephropathy,Diabetic nephropathy is a kidney disease resulting from diabetes.
Cardiomyopathy,Cardiomyopathy is a disease of the heart muscle.
Sarcoid myopathy,A muscle disease associated with sarcoidosis.
Sarcoidosis,A disease characterized by the formation of non-caseous granulomas.
Cutaneous sarcoidosis,Sarcoidosis affecting the skin.
Long COVID-19,Long-term post-infectious condition characterized by severe neuro- and cardiovascular disorders.
cardiopathy,A cardiovascular disorder.
neuralgia,A neurological disorder.
fibromyalgia,A neurological disorder.
Guillain-Barré syndrome,A neurological disorder.
Genetic defects,Genetic defects are linked to Alu retrotransposon activity.
Sarcomatoid renal cell carcinoma,Sarcomatoid renal cell carcinoma is a highly immunogenic subtype of RCC.
Hemoglobinopathies,A group of inherited blood disorders affecting the structure or production of hemoglobin.
Common diseases,"Widespread, multifactorial diseases with complex etiologies."
X-linked dominant chondrodysplasia punctata,X-linked dominant chondrodysplasia punctata (CDPX2) is a rare congenital disorder.
Colorectal tumor,Colorectal tumor is a malignant growth in the colon or rectum.
Liver metastasis,Liver metastasis is the spread of cancer to the liver from another site.
Cancer predisposition syndrome,A hereditary condition that increases the risk of developing cancer.
Familial adenomatous polyposis,Familial adenomatous polyposis is a hereditary condition characterized by numerous colorectal polyps.
Sporadic colorectal tumors,Sporadic colorectal tumors are non-hereditary cancers of the colon or rectum.
Renal cancer,Renal cancer is a malignant tumor of the kidney.
Transitional cell carcinoma,Transitional cell carcinoma is a type of bladder cancer.
Chagas disease,Chagas disease is a tropical parasitic disease caused by Trypanosoma cruzi.
Prostate carcinoma,Prostate carcinoma (PCa) is a malignant tumor of the prostate gland.
Diseases associated with MHC,More than 100 different diseases are strongly associated with the Major Histocompatibility Complex (MHC) region.
pediatric malignant germ cell tumor,Childhood malignant germ cell tumor (MGCT).
Pyruvate dehydrogenase complex deficiency,A metabolic disorder caused by defects in the pyruvate dehydrogenase complex.
Tumor progression,The process by which tumors grow and become more aggressive.
Gastric signet-ring cell carcinoma,A type of human gastric cancer.
Intestinal-type adenocarcinoma,A type of human gastric cancer.
Germ cell tumor,Germ cell tumor is a type of tumor derived from germ cells.
Breast carcinoma,Breast carcinoma is a malignant tumor of the breast tissue.
Genome instability,Genetic instability is a phenotype observed in ercc1 and xpf individuals.
Oncogenesis,Cancer development potentially contributed to by LINE-1 retrotransposition.
Cancer progression,Advancement of cancer potentially contributed to by LINE-1 retrotransposition.
Abdominal aortic aneurysm,Abdominal aortic aneurysm (AAA) is a multi-factorial disease with genetic and environmental risk factors.
Systemic autoimmune disease,Systemic autoimmune disease involves immune system activation against self-antigens.
Ileal carcinoid,Neuroendocrine tumor of the ileum.
Pancreatic neuroendocrine tumor,Neuroendocrine tumor of the pancreas.
Endometrial cancer,"Cancer of the endometrium, studied in this paper."
Familial colorectal cancer type X,A familial colorectal cancer syndrome distinct from Lynch syndrome.
Fibrolamellar hepatocellular carcinoma,Fibrolamellar hepatocellular carcinoma (FL-HCC) is a rare liver cancer.
Pure fibrolamellar hepatocellular carcinoma,Pure FL-HCC typically occurs in patients aged <30 years and often presents with lymph node metastasis.
Mixed fibrolamellar hepatocellular carcinoma,"Mixed FL-HCC resembles classic HCC, occurring in patients aged >40 years with frequent liver recurrence."
Idiopathic Pulmonary Fibrosis,"IPF is characterized by excessive extracellular matrix deposition, myofibroblast foci, and alveolar epithelial cell hyperplasia."
hemimegalencephaly,Hemimegalencephaly is a neurological disorder characterized by overgrowth of one brain hemisphere.
Ductal carcinoma in situ,DCIS is a non-invasive form of breast cancer confined to the milk ducts.
Invasive breast cancer,Invasive breast cancer has spread beyond the ducts or lobules into surrounding breast tissue.
Lymph node metastasis,Lymph node metastasis is the spread of cancer cells to the lymph nodes.
Schistosomiasis,Schistosomiasis is a human parasitic disease transmitted by snails.
secondary malignancies,Secondary cancers that develop following genotoxic cancer therapy.
pre-B ALL,Pre-B cell acute lymphoblastic leukemia is a B cell malignancy.
neoplasms,Human tumors or cancers.
Chronic obstructive pulmonary disease,COPD is a complex lung disorder primarily caused by cigarette smoking.
Gastric adenocarcinoma,Gastric adenocarcinoma is a type of stomach cancer.
Gastric intestinal metaplasia,Gastric intestinal metaplasia is a precancerous change in the stomach lining.
Drug addiction,"A chronic, relapsing disorder characterized by compulsive drug seeking and use."
Drug tolerance,A state of reduced response to a drug following repeated exposure.
well-differentiated liposarcoma,Well-differentiated liposarcoma is the most common soft tissue sarcoma.
Lipoprotein lipase deficiency,Lipoprotein lipase deficiency is a genetic disorder causing severe hypertriglyceridemia.
Spontaneous abortion,Spontaneous abortion is the natural loss of a pregnancy before 20 weeks.
gastrointestinal tumors,Gastrointestinal tumors are cancers of the digestive system.
cryptorchidism,Cryptorchidism is a condition where one or both testes fail to descend into the scrotum.
HIV-associated neurocognitive disorder,HAND is a neurocognitive disorder associated with HIV infection.
Gastrointestinal neoplasms,"Cancers of the gastrointestinal tract, including stomach and duodenum."
Myeloproliferative neoplasms,A group of diseases of the bone marrow.
Barrett's esophagus,Barrett's esophagus (BE) is a condition where esophageal lining transitions to metaplastic columnar epithelium.
Esophageal adenocarcinoma,Esophageal adenocarcinoma (EAC) is a malignant tumor of the esophagus.
METH abuse-induced hippocampus-dependent memory deficits,"Memory deficits caused by methamphetamine abuse, dependent on hippocampal function."
impaired performance on cognitive tasks mediated by the striatum,Cognitive impairment in tasks that rely on striatal function.
Skeletal dysplasia,Skeletal dysplasia is a genetically heterogeneous cause of short stature.
Transitional mucosa,Transitional mucosa is a preneoplastic stage in colon transformation.
Prostate intraepithelial neoplasia,Prostate intraepithelial neoplasia (PIN) is a preneoplastic stage in prostate transformation.
Serious adverse events in gene therapy,Serious adverse events linked to gene deregulation in gene therapy clinical trials.
teratoma,Teratoma is a tumor that may contain several different types of tissue.
Major depression disorder,Major depressive disorder (MDD) is a mental health condition.
adriamycin cardiomyopathy,Adriamycin cardiomyopathy is a lethal heart disease induced by the drug adriamycin.
congestive heart failure,Congestive heart failure is a condition where the heart doesn't pump blood as well as it should.
ductal adenocarcinoma of the breast,"A breast carcinoma, specifically a ductal adenocarcinoma."
Neoplasia,"A condition of abnormal and uncontrolled cell growth, often leading to cancer."
Cancer of unknown primary origin,Cancer where the primary site of origin cannot be determined.
Cocaine addiction,Cocaine addiction is a substance use disorder characterized by compulsive cocaine seeking and use.
Alport syndrome,Alport syndrome is a genetic disorder affecting type IV collagen.
Castration-resistant prostate cancer,Castration-resistant prostate cancer is an advanced form of prostate cancer that no longer responds to hormone deprivation therapy.
Bile duct carcinoma,Bile duct carcinoma is a type of cancer.
Squamous cell lung cancer,A subtype of non-small cell lung cancer.
Adenocarcinoma,A subtype of non-small cell lung cancer.
Hypospermatogenesis,HS is a condition of reduced sperm production in the testes.
viral hepatitis,Viral hepatitis is an infection that causes liver inflammation.
fibrosis,Fibrosis is the formation of excess fibrous connective tissue in an organ.
steatosis,Steatosis is the abnormal retention of fat within a cell or organ.
hepatocarcinoma,Hepatocarcinoma is a primary malignancy of the liver.
Benign breast lesions,Non-cancerous breast tissue abnormalities.
Serous tubal intraepithelial carcinoma,A late-stage precursor lesion for high-grade serous ovarian carcinoma.
p53 signature lesion,An early precursor lesion for high-grade serous ovarian carcinoma.
non-small-cell lung carcinoma,Non-small-cell lung carcinoma is a type of lung cancer.
malignant transformation,Malignant transformation is the process by which cells become cancerous.
cutaneous T-cell lymphomas,Cutaneous T-cell lymphomas (CTCL) are a group of lymphomas affecting the skin.
Stomach tumor,Tumor in the stomach.
Esophageal tumor,Tumor in the esophagus.
Advanced gastric cancer,Advanced stage gastric cancer (AGC).
frontotemporal degeneration,A group of disorders caused by progressive nerve cell loss in the brain's frontal or temporal lobes.
FTD-ALS,"Frontotemporal degeneration-amyotrophic lateral sclerosis, a condition with features of both disorders."
Androgen insensitivity syndrome,"AIS is the most common cause of disorders of sex development in 46,XY individuals."
Partial androgen insensitivity syndrome,PAIS is a form of AIS characterized by undervirilization of external genitalia.
Ovarian tumor,"Ovarian tumor is a growth in the ovary, which can be benign or malignant."
MSLN-positive solid tumors,MSLN-positive solid tumors are solid cancers expressing the mesothelin antigen.
Oral squamous cell carcinoma,Oral squamous cell carcinoma (OSCC) is a type of oral cancer.
Oncological diseases,A group of diseases involving cancer.
xeroderma pigmentosum,Xeroderma pigmentosum is a DNA repair-deficiency disorder.
Pan-cancer,A term referring to the analysis across multiple cancer types.
Bronchitis,A chronic inflammatory lung disease.
Cutaneous melanoma,A malignant tumor of melanocytes in the skin.
Melanoma recurrence,The return of melanoma after treatment.
First trimester miscarriage,Pregnancy loss occurring in the first trimester.
Aneuploidy,Abnormal number of chromosomes.
Trisomy,Presence of an extra chromosome.
Monosomy X,Presence of only one X chromosome.
testicular injury,Testicular injury refers to damage or dysfunction of the testis.
Colon adenocarcinoma,Adenocarcinoma of the colon.
Kaposi's sarcoma-associated herpesvirus-related primary effusion lymphoma,"A KSHV-associated malignancy, often in AIDS patients."
KSHV-associated malignancies,Malignancies associated with Kaposi's sarcoma-associated herpesvirus.
Neurodevelopmental disabilities,Neurodevelopmental disabilities are a leading childhood outcome of preterm birth.
metastatic disease,Metastatic disease is cancer that has spread from its original site.
Hepatitis B,Hepatitis B is a viral infection of the liver caused by hepatitis B virus.
Korean hemorrhagic fever,Korean hemorrhagic fever is caused by Hantaan orthohantavirus.
Myeloid leukemia,A cancer of the myeloid line of blood cells.
Chronic human illness,Chronic human illness refers to long-term health conditions that may be influenced by genetic factors.
Hepatitis C virus infection,Hepatitis C virus (HCV) infection is a viral infection that affects the liver.
dermatomyositis,Dermatomyositis is a systemic autoimmune disease.
autoimmune blistering disease,Autoimmune blistering disease is an autoimmune disease.
Post-traumatic stress disorder,Post-traumatic stress disorder is a neurological disorder.
Hormone-receptor-negative breast cancer,Hormone-receptor-negative breast cancer is a subtype of breast cancer lacking hormone receptors.
Bacillus Calmette-Guérin disease,Bacillus Calmette-Guérin disease is a complication of BCG vaccination.
Pneumonia,Pneumonia is an inflammatory condition of the lung.
Peritoneal metastasis,Peritoneal metastasis is the spread of cancer cells to the peritoneum.
Metastatic peritoneal carcinoma,Metastatic peritoneal carcinoma is cancer that has spread to the peritoneum.
ataxia,A neurological sign involving lack of voluntary coordination of muscle movements.
neurological and psychiatric diseases,Neurological and psychiatric diseases exhibit variation in LINE-1 activity.
Meckel syndrome,Meckel syndrome is a neurodevelopmental disorder.
KMT2A rearrangement-positive B-acute lymphoblastic leukemia,KMT2A-r B-ALL is a subtype of acute lymphoblastic leukemia with lineage conversion risk.
Epstein-Barr virus-associated gastric cancer,EBV-associated gastric cancer (EBVaGC) is a malignancy linked to Epstein-Barr virus infection.
Epithelial malignancies,Epithelial malignancies are cancers linked to Epstein-Barr virus infection.
Acute kidney injury,AKI affects over 13 million people worldwide each year.
Rhabdomyolysis,Condition associated with acute kidney injury.
psychiatric disorders,"Mental health conditions affecting mood, thinking, and behavior."
Recurrent pregnancy loss,Recurrent pregnancy loss is the occurrence of multiple miscarriages.
Elective abortion,Elective abortion is the intentional termination of a pregnancy.
Tauopathy,Tauopathy is a neurodegenerative disease characterized by abnormal tau protein aggregation.
Gynecologic tumors,"Tumors of the female reproductive system, including ovarian, cervical, and endometrial malignancies."
Ovarian malignancies,Malignant tumors originating in the ovaries.
Cervical malignancies,Malignant tumors originating in the cervix.
Endometrial malignancies,Malignant tumors originating in the endometrium (lining of the uterus).
Endometrial tumor,Endometrial tumor is a malignant tumor of the endometrium.
Prostate tumor,Prostate tumor is a malignant tumor of the prostate gland.
Developmental disorders,Conditions that result from impairments during physical or cognitive development.
sporadic genetic diseases,Sporadic genetic diseases can be caused by LINE-1 transposition.
Upper gastrointestinal cancer,Upper gastrointestinal cancer includes esophageal and gastric cancers.
dermatological diseases,Diseases of the skin treated with UVB phototherapy.
Squamous cell carcinoma,A subtype of non-small cell lung cancer.
various severe diseases,Various severe diseases can be caused by LINE-1 retrotransposition.
Skin cancer,Skin cancer is a malignant tumor of the skin.
Rectal cancer,"A malignant tumor of the rectum, leading cause of oncological morbidity and mortality."
Solid cancers,"A broad category of human malignancies, characterized by epigenetic dysregulation."
Azoospermia with meiotic arrest,Azoospermia is the absence of sperm in the ejaculate; meiotic arrest refers to a failure in sperm cell division.
Early pregnancy loss (EPL),"Early pregnancy loss, a form of spontaneous abortion."
Recurrent pregnancy loss (RPL),"Recurrent pregnancy loss, a subset of EPL."
progressive disease,Progressive disease is the worsening of a disease after treatment.
Opioid addiction,A chronic disorder characterized by compulsive opioid seeking and use.
Opioid physical dependence,A state of adaptation to opioids manifested by withdrawal upon cessation.
late-onset Alzheimer's disease,"A neurodegenerative disorder, also referred to as LOAD."
aging-related inflammation,"Chronic, low-grade inflammation associated with aging."
Coeliac disease,An immune-mediated disease triggered by an abnormal T-cell response to dietary gluten.
Small bowel adenocarcinoma,"Adenocarcinoma of the small bowel, a predisposing condition of coeliac disease."
Hereditary diseases,Many hereditary diseases are involved with retrotransposition.
muscle-invasive bladder cancer,Muscle-invasive bladder cancer (MIBC) is an aggressive form of bladder cancer.
HIV-2 infection,HIV-2 infection is a viral disease caused by human immunodeficiency virus type 2.
SIV infection,SIV infection is a viral disease caused by simian immunodeficiency virus.
CNS neuroblastoma,CNS neuroblastoma is a central nervous system embryonal tumor.
H3 K27M-mutant diffuse midline glioma,DMG is a high-grade glioma with a specific histone mutation.
pineoblastoma,Pineoblastoma is a malignant embryonal tumor of the pineal gland.
ALS with other neurological disorder,Amyotrophic lateral sclerosis with other neurological disorder.
Type 1 diabetes mellitus,An autoimmune disorder characterized by insulin deficiency.
Metabolic dysfunction-associated steatotic liver disease (MASLD),MASLD is a liver disease characterized by steatosis associated with metabolic dysfunction.
Alcohol-related liver disease,Liver disease caused by excessive alcohol consumption.
Liver steatosis,Liver steatosis is the abnormal accumulation of fat in liver cells.
Liver fibrosis,Liver fibrosis is the excessive accumulation of extracellular matrix proteins in the liver.
myelodysplastic syndromes,Myelodysplastic syndromes are a group of bone marrow disorders.
myeloid malignancies,Myeloid malignancies are cancers of the myeloid blood cell lineage.
Fanconi anemia neuroinflammatory syndrome,FANS is a neuroinflammatory condition in individuals with Fanconi anemia.
ulcerative colitis,Ulcerative colitis is an inflammatory bowel disease that predisposes to colon cancer.
FTLD,FTLD associated with the C9orf72 repeat expansion mutation.
emotional disorders,Emotional disorders are neurological conditions with implications from LINE-1.
Congenital anomalies of the kidney,Congenital anomalies of the kidney is a disease where ZMYM2 activity is diminished.
HNSCC,Head and neck squamous cell carcinoma is a type of cancer.
LSCC,Lung squamous cell carcinoma is a type of cancer.
UCEC,Uterine corpus endometrial carcinoma is a type of cancer.
Tonsillar carcinoma,A carcinoma of the tonsil.
Turner syndrome,Turner syndrome is a chromosomal disorder characterized by monosomy X.
Desmoplastic small round cell tumor,A primitive multiphenotypic sarcoma arising in serosal tissues.
X-linked retinitis pigmentosa,X-linked retinitis pigmentosa (XLRP) is a progressive retinal degeneration.
small-cell lung cancer,A type of aggressive lung cancer.
various cancers,Multiple types of malignant tumors.
Anaplastic thyroid carcinoma,"Anaplastic thyroid carcinoma is an aggressive, dedifferentiated subtype of thyroid cancer."
Refractory thyroid tumors,Refractory thyroid tumors are thyroid cancers resistant to standard therapies.
